Store#,Pool_ID,Pool#,AddressName
2041,SEA,2687,Schneider Logistics
2042,BUF,2668,Regional Integrated Logistics
2043,CHI,2625,Demar Logistics
2044,SEA,2687,Schneider Logistics
2045,BUF,2668,Regional Integrated Logistics
2046,SEA,2687,Schneider Logistics
2047,SEA,2687,Schneider Logistics
2050,SEA,2687,Schneider Logistics
2051,SEA,2687,Schneider Logistics
2052,SPR,2690,Palmer Dedicated Logistics
2054,SEA,2687,Schneider Logistics
2057,SEA,2687,Schneider Logistics
2250,SEA,2687,Schneider Logistics
2301,HOU,2659,Pathmark Transportation - HOU
2302,HOU,2659,Pathmark Transportation - HOU
2303,HOU,2659,Pathmark Transportation - HOU
2304,HOU,2659,Pathmark Transportation - HOU
2305,HOU,2659,Pathmark Transportation - HOU
2306,HOU,2659,Pathmark Transportation - HOU
2307,HOU,2659,Pathmark Transportation - HOU
2308,HOU,2659,Pathmark Transportation - HOU
2309,HOU,2659,Pathmark Transportation - HOU
2310,HOU,2659,Pathmark Transportation - HOU
2311,HOU,2659,Pathmark Transportation - HOU
2500,HOU,2659,Pathmark Transportation - HOU
2611,NA,NA,NA
2612,NA,NA,NA
2625,NA,NA,NA
2642,NA,NA,NA
2646,NA,NA,NA
2647,NA,NA,NA
2651,NA,NA,NA
2654,NA,NA,NA
2659,NA,NA,NA
2662,NA,NA,NA
2664,NA,NA,NA
2666,NA,NA,NA
2668,NA,NA,NA
2670,NA,NA,NA
2673,NA,NA,NA
2674,NA,NA,NA
2678,NA,NA,NA
2679,NA,NA,NA
2680,NA,NA,NA
2681,NA,NA,NA
2682,NA,NA,NA
2686,NA,NA,NA
2687,NA,NA,NA
2689,NA,NA,NA
2690,NA,NA,NA
4601,NA,NA,NA
4603,NA,NA,NA
38100,NA,NA,NA
43800,NA,NA,NA
57700,NA,NA,NA
132600,NA,NA,NA
